ch,x,y,z,int
3,378,1221,1,65535
3,663,274,1,65373
3,510,1587,1,65535
3,474,1874,1,59330
3,667,323,1,65535
3,553,1780,1,64400
3,395,1100,1,65535
3,1994,1896,1,61496
3,1471,1513,1,59770
3,878,1028,1,60879
3,1108,1541,1,57032
3,514,423,1,57814
3,1092,1414,1,51633
3,834,43,1,46809
3,1654,1769,1,63100
3,638,459,1,62831
3,565,566,1,60529
3,1228,1508,1,63362
3,227,1856,1,51331
3,1116,246,1,54605
3,2018,1903,1,54985
3,2013,1674,1,52024
3,2016,1972,1,45879
3,841,1012,1,49880
3,1872,541,1,53914
3,1754,860,1,58868
3,1651,619,1,55599
3,131,1352,1,55271
3,508,1772,1,53876
3,1933,1691,1,53165
3,886,184,1,53611
3,109,786,1,54565
3,534,970,1,60326
3,465,550,1,52696
3,414,577,1,55153
3,164,1613,1,47404
3,700,133,1,44380
3,2013,522,1,45001
3,827,100,1,55280
3,708,1603,1,54508
3,1070,691,1,56720
3,294,1463,1,50175
3,2026,1834,1,50907
3,534,1783,1,52290
3,1697,1503,1,51965
3,1522,1743,1,51799
3,601,318,1,45394
3,1963,1773,1,46162
3,1441,35,1,49996
3,1918,465,1,39502
3,1880,1807,1,43931
3,100,1404,1,46579
3,621,698,1,41081
3,1817,1612,1,48176
3,446,414,1,46395
3,998,281,1,47372
3,1013,535,1,41618
3,1676,1030,1,48810
3,810,2012,1,46778
3,488,1605,1,50246
3,1813,430,1,44194
3,1795,472,1,41575
3,1401,941,1,41717
3,1576,1598,1,39136
3,439,1059,1,46189
3,487,1676,1,45121
3,1418,1254,1,30719
3,378,784,1,43476
3,1699,1326,1,42107
3,558,477,1,41373
3,1240,255,1,39790
3,534,40,1,44967
3,224,1160,1,38433
3,404,1391,1,47021
3,1864,1713,1,42884
3,1974,1881,1,40143
3,1117,522,1,44438
3,1017,1617,1,38499
3,1699,1576,1,37270
3,1849,1756,1,41389
3,477,1920,1,41508
3,497,1696,1,44381
3,452,475,1,39989
3,1654,103,1,40412
3,1744,757,1,39416
3,1882,810,1,30565
3,514,1416,1,45015
3,1731,421,1,34467
3,1608,1639,1,38940
3,497,559,1,41392
3,222,1207,1,42819
3,663,1034,1,40919
3,1686,821,1,34645
3,1960,439,1,38395
3,1623,917,1,30293
3,584,787,1,36853
3,1768,19,1,37374
3,451,1972,1,37208
3,1379,978,1,38589
3,339,1831,1,36628
3,648,374,1,38612
3,1688,1409,1,32962
3,1021,1647,1,34479
3,1763,711,1,33441
3,663,599,1,37799
3,845,1675,1,30253
3,630,975,1,35893
3,1717,1003,1,30716
3,494,397,1,34786
3,1003,1924,1,32767
3,779,1009,1,36044
3,556,415,1,37045
3,541,915,1,35816
3,597,1726,1,33445
3,1135,1973,1,34221
3,719,624,1,34915
3,89,322,1,31861
3,749,546,1,33922
