gene,Hyb1,Hyb2,Hyb3,Hyb4
fake353,2,10,7,3
fake354,2,10,8,4
fake355,2,10,9,5
fake356,2,10,10,6
fake357,2,10,11,7
fake358,2,10,12,8
fake359,2,10,13,9
fake360,2,10,14,10
fake361,2,10,15,11
fake362,2,10,16,12
fake363,2,11,1,14
fake364,2,11,3,16
fake365,2,11,4,1
fake366,2,11,6,3
fake367,2,11,7,4
fake368,2,11,8,5
fake369,2,11,9,6
fake370,2,11,10,7
fake371,2,11,11,8
fake372,2,11,12,9
fake373,2,11,13,10
fake374,2,11,14,11
fake375,2,11,15,12
fake376,2,11,16,13
fake377,2,12,1,15
fake378,2,12,2,16
fake379,2,12,3,1
fake380,2,12,4,2
fake381,2,12,5,3
fake382,2,12,6,4
fake383,2,12,7,5
fake384,2,12,8,6
fake385,2,12,9,7
fake386,2,12,10,8
fake387,2,12,11,9
fake388,2,12,12,10
fake389,2,12,13,11
fake390,2,12,15,13
fake391,2,12,16,14
fake392,2,13,1,16
fake393,2,13,2,1
fake394,2,13,3,2
fake395,2,13,4,3
fake396,2,13,5,4
fake397,2,13,6,5
fake398,2,13,7,6
fake399,2,13,8,7
fake400,2,13,9,8
fake401,2,13,10,9
fake402,2,13,11,10
fake403,2,13,12,11
fake404,2,13,13,12
fake405,2,13,14,13
fake406,2,13,15,14
fake407,2,13,16,15
fake408,2,14,1,1
fake409,2,14,2,2
fake410,2,14,3,3
fake411,2,14,4,4
fake412,2,14,5,5
fake413,2,14,6,6
fake414,2,14,7,7
fake415,2,14,8,8
fake416,2,14,10,10
fake417,2,14,11,11
fake418,2,14,12,12
fake419,2,14,13,13
fake420,2,14,14,14
fake421,2,14,15,15
fake422,2,14,16,16
fake423,2,15,1,2
fake424,2,15,2,3
fake425,2,15,3,4
fake426,2,15,4,5
fake427,2,15,5,6
fake428,2,15,6,7
fake429,2,15,7,8
fake430,2,15,8,9
fake431,2,15,9,10
fake432,2,15,10,11
fake433,2,15,11,12
fake434,2,15,12,13
fake435,2,15,13,14
fake436,2,15,14,15
fake437,2,15,15,16
fake438,2,15,16,1
fake439,2,16,1,3
fake440,2,16,2,4
fake441,2,16,3,5
fake442,2,16,4,6
fake443,2,16,6,8
fake444,2,16,7,9
fake445,2,16,8,10
fake446,2,16,9,11
fake447,2,16,10,12
fake448,2,16,11,13
fake449,2,16,12,14
fake450,2,16,13,15
fake451,2,16,14,16
fake452,2,16,15,1
fake453,2,16,16,2
fake454,3,1,1,5
fake455,3,1,2,6
fake456,3,1,3,7
fake457,3,1,4,8
fake458,3,1,5,9
fake459,3,1,6,10
fake460,3,1,8,12
fake461,3,1,9,13
fake462,3,1,10,14
fake463,3,1,12,16
fake464,3,1,13,1
fake465,3,1,14,2
fake466,3,1,15,3
fake467,3,1,16,4
fake468,3,2,1,6
fake469,3,2,2,7
fake470,3,2,3,8
fake471,3,2,5,10
fake472,3,2,6,11
fake473,3,2,7,12
fake474,3,2,8,13
fake475,3,2,9,14
fake476,3,2,10,15
fake477,3,2,11,16
fake478,3,2,12,1
fake479,3,2,13,2
fake480,3,2,14,3
fake481,3,2,15,4
fake482,3,3,1,7
fake483,3,3,2,8
fake484,3,3,3,9
fake485,3,3,4,10
fake486,3,3,5,11
fake487,3,3,6,12
fake488,3,3,7,13
fake489,3,3,8,14
fake490,3,3,9,15
fake491,3,3,10,16
fake492,3,3,11,1
fake493,3,3,12,2
fake494,3,3,13,3
fake495,3,3,14,4
fake496,3,3,15,5
fake497,3,3,16,6
fake498,3,4,1,8
fake499,3,4,2,9
fake500,3,4,3,10
fake501,3,4,4,11
fake502,3,4,5,12
fake503,3,4,6,13
fake504,3,4,7,14
fake505,3,4,8,15
fake506,3,4,9,16
fake507,3,4,10,1
fake508,3,4,11,2
fake509,3,4,12,3
fake510,3,4,13,4
fake511,3,4,14,5
fake512,3,4,15,6
fake513,3,4,16,7
fake514,3,5,1,9
fake515,3,5,4,12
fake516,3,5,5,13
fake517,3,5,6,14
fake518,3,5,7,15
fake519,3,5,9,1
fake520,3,5,10,2
fake521,3,5,11,3
fake522,3,5,12,4
fake523,3,5,13,5
fake524,3,5,14,6
fake525,3,5,15,7
fake526,3,5,16,8
fake527,3,6,1,10
fake528,3,6,2,11
fake529,3,6,3,12
fake530,3,6,5,14
fake531,3,6,6,15
fake532,3,6,8,1
fake533,3,6,10,3
fake534,3,6,11,4
fake535,3,6,12,5
fake536,3,6,13,6
fake537,3,6,14,7
fake538,3,6,15,8
fake539,3,6,16,9
fake540,3,7,1,11
fake541,3,7,2,12
fake542,3,7,3,13
fake543,3,7,4,14
fake544,3,7,5,15
fake545,3,7,6,16
fake546,3,7,8,2
fake547,3,7,9,3
fake548,3,7,11,5
fake549,3,7,12,6
fake550,3,7,13,7
fake551,3,7,14,8
fake552,3,7,15,9
fake553,3,7,16,10
fake554,3,8,1,12
fake555,3,8,3,14
fake556,3,8,4,15
fake557,3,8,5,16
fake558,3,8,6,1
fake559,3,8,7,2
fake560,3,8,8,3
fake561,3,8,9,4
fake562,3,8,10,5
fake563,3,8,11,6
fake564,3,8,12,7
fake565,3,8,13,8
fake566,3,8,14,9
fake567,3,8,15,10
fake568,3,8,16,11
fake569,3,9,1,13
fake570,3,9,2,14
fake571,3,9,3,15
fake572,3,9,4,16
fake573,3,9,5,1
fake574,3,9,6,2
fake575,3,9,7,3
fake576,3,9,8,4
fake577,3,9,9,5
fake578,3,9,10,6
fake579,3,9,11,7
fake580,3,9,12,8
fake581,3,9,14,10
fake582,3,9,15,11
fake583,3,9,16,12
fake584,3,10,1,14
fake585,3,10,2,15
fake586,3,10,3,16
fake587,3,10,4,1
fake588,3,10,5,2
fake589,3,10,7,4
fake590,3,10,8,5
fake591,3,10,9,6
fake592,3,10,10,7
fake593,3,10,11,8
fake594,3,10,12,9
fake595,3,10,14,11
fake596,3,10,15,12
fake597,3,10,16,13
fake598,3,11,1,15
fake599,3,11,2,16
fake600,3,11,3,1
fake601,3,11,4,2
fake602,3,11,5,3
fake603,3,11,6,4
fake604,3,11,8,6
fake605,3,11,9,7
fake606,3,11,10,8
fake607,3,11,11,9
fake608,3,11,12,10
fake609,3,11,13,11
fake610,3,11,14,12
fake611,3,11,15,13
fake612,3,11,16,14
fake613,3,12,1,16
fake614,3,12,2,1
fake615,3,12,3,2
fake616,3,12,6,5
fake617,3,12,7,6
fake618,3,12,8,7
fake619,3,12,9,8
fake620,3,12,10,9
fake621,3,12,11,10
fake622,3,12,12,11
fake623,3,12,13,12
fake624,3,12,14,13
fake625,3,12,15,14
fake626,3,12,16,15
fake627,3,13,1,1
fake628,3,13,2,2
fake629,3,13,4,4
fake630,3,13,5,5
fake631,3,13,6,6
fake632,3,13,7,7
fake633,3,13,8,8
fake634,3,13,10,10
fake635,3,13,11,11
