ch,x,y,z,int
2,1009.0,1637.0,6.0,1177
2,1830.0,761.0,3.0,1142
2,1532.0,1572.0,2.0,1067
2,1019.0,713.0,3.0,1219
2,532.0,1002.0,6.0,1195
2,452.0,1483.0,2.0,1117
2,1647.0,361.0,4.0,1162
2,829.0,849.0,4.0,1061
2,1915.0,1760.0,2.0,1094
2,1281.0,1386.0,5.0,1083
2,1304.0,1048.0,3.0,1101
2,1351.0,1349.0,2.0,1185
2,700.0,1682.0,3.0,1129
2,117.0,1664.0,3.0,1113
2,1445.0,1381.0,5.0,1167
2,1349.0,1350.0,2.0,1206
2,459.0,571.0,5.0,1123
2,1752.0,2042.0,2.0,1082
2,1397.0,595.0,2.0,1069
2,710.0,872.0,3.0,1211
2,1426.0,1664.0,5.0,1138
2,976.0,1211.0,4.0,1162
2,1363.0,244.0,8.0,1066
2,1050.0,92.0,10.0,1209
2,906.0,1908.0,5.0,1040
2,868.0,2036.0,5.0,1046
2,1712.0,1731.0,3.0,1112
2,2042.0,1180.0,4.0,1063
2,1741.0,430.0,7.0,1123
2,1253.0,338.0,4.0,1087
2,1353.0,967.0,4.0,1132
2,1146.0,1224.0,1.0,1004
2,500.0,1722.0,4.0,1096
2,352.0,909.0,5.0,1048
2,1427.0,1251.0,3.0,1174
2,532.0,915.0,6.0,1064
2,473.0,907.0,3.0,1076
2,274.0,854.0,5.0,1041
2,1697.0,583.0,4.0,1076
2,1439.0,900.0,4.0,1047
2,1631.0,1151.0,3.0,987
2,652.0,1944.0,2.0,1011
2,1087.0,187.0,7.0,1134
2,1222.0,855.0,5.0,1121
2,817.0,1127.0,2.0,1134
2,1243.0,458.0,3.0,1033
2,1544.0,1629.0,3.0,1106
2,255.0,51.0,0.0,1500
2,1533.0,196.0,6.0,1123
2,1618.0,309.0,3.0,1124
2,1994.0,778.0,3.0,1061
2,1410.0,651.0,2.0,1077
2,1612.0,1607.0,4.0,1054
2,714.0,72.0,4.0,1045
2,684.0,1091.0,2.0,1073
2,1343.0,1309.0,4.0,1105
2,1736.0,1482.0,2.0,957
