hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,1088.0,1101.0,6.0,12830,3380
12,1,1669.0,1193.0,5.0,11126,15516
12,1,558.0,875.0,5.0,11753,19255
12,1,1122.0,511.0,6.0,11492,51649
12,1,1078.0,1078.0,5.0,12354,4796
12,1,1362.0,924.0,7.0,8685,4560
12,1,1428.0,1141.0,5.0,12034,7351
12,1,994.0,671.0,6.0,11502,2381
12,1,931.0,1075.0,6.0,11473,47389
12,1,1099.0,230.0,6.0,12078,11379
12,1,840.0,472.0,9.0,11468,2115
12,1,1384.0,480.0,13.0,10310,13319
12,1,843.0,753.0,7.0,12773,2309
12,1,366.0,1466.0,7.0,11074,2363
12,1,1205.0,1114.0,5.0,11199,5655
12,1,393.0,1107.0,6.0,13023,2502
12,1,1108.0,1843.0,5.0,10876,3800
12,1,972.0,649.0,6.0,12950,2291
12,1,345.0,1557.0,8.0,10797,2740
12,1,412.0,1388.0,6.0,11498,2602
12,1,1259.0,911.0,6.0,11646,27566
12,1,1205.0,941.0,4.0,11160,5580
12,1,1653.0,949.0,9.0,11704,7977
12,1,566.0,1900.0,5.0,11127,8572
12,1,835.0,1298.0,12.0,10225,2605
12,1,836.0,560.0,5.0,10959,3621
12,1,21.0,609.0,6.0,11208,2186
12,1,1984.0,1270.0,5.0,10813,3325
12,1,196.0,997.0,5.0,10711,5557
12,1,930.0,485.0,5.0,12055,3347
12,1,1390.0,927.0,6.0,12387,2849
12,1,902.0,1698.0,5.0,12105,6075
12,1,1863.0,1450.0,8.0,11001,2377
12,1,1442.0,1127.0,5.0,12252,10875
12,1,992.0,785.0,6.0,9962,2290
12,1,1933.0,1166.0,7.0,10741,2309
12,1,589.0,1903.0,5.0,10765,5153
12,1,806.0,983.0,6.0,11496,2924
12,1,1899.0,1224.0,7.0,11881,2402
12,1,1756.0,405.0,5.0,12357,9632
12,1,1118.0,490.0,6.0,11733,12884
12,1,809.0,219.0,7.0,12513,2235
12,1,991.0,1965.0,6.0,11565,2291
12,1,964.0,1965.0,6.0,11447,2390
12,1,1675.0,1272.0,5.0,11196,4931
12,1,1112.0,521.0,6.0,12572,8461
12,1,988.0,359.0,7.0,12228,2469
12,1,245.0,1544.0,6.0,11658,2349
12,1,1064.0,1873.0,5.0,10418,3920
12,1,278.0,1159.0,5.0,10379,12978
12,1,1362.0,392.0,7.0,11542,2735
12,1,1717.0,555.0,5.0,10791,4367
12,1,979.0,669.0,5.0,11997,3378
12,1,71.0,525.0,6.0,12104,2071
12,1,658.0,1214.0,6.0,10489,11262
12,1,1110.0,485.0,5.0,12392,31032
12,1,926.0,1256.0,5.0,10606,66399
12,1,968.0,1142.0,5.0,12253,40367
12,1,738.0,1603.0,6.0,12279,7786
12,1,531.0,1896.0,5.0,11724,60197
12,1,509.0,1195.0,7.0,11236,5198
12,1,1783.0,526.0,6.0,11669,13294
12,1,1110.0,662.0,8.0,10342,3222
12,1,525.0,1771.0,5.0,10594,36543
12,1,811.0,760.0,6.0,11939,2646
12,1,1459.0,806.0,9.0,10926,6427
12,1,1362.0,1051.0,6.0,10905,4755
12,1,1133.0,625.0,5.0,12718,4131
12,1,509.0,1857.0,5.0,10580,14101
12,1,932.0,1743.0,7.0,11306,6131
12,1,820.0,745.0,5.0,11754,49815
12,1,947.0,1072.0,5.0,10994,136299
12,1,1786.0,893.0,5.0,10848,3556
12,1,512.0,1621.0,7.0,11461,50195
12,1,975.0,1721.0,5.0,10630,8511
12,1,1659.0,897.0,6.0,11164,37543
12,1,1238.0,1094.0,5.0,11442,80337
12,1,751.0,166.0,6.0,12116,2154
12,1,1020.0,1909.0,5.0,10535,5616
12,1,1052.0,1772.0,5.0,11429,29792
12,1,912.0,1693.0,6.0,11050,56717
12,1,1257.0,837.0,5.0,10918,5162
12,1,1309.0,674.0,5.0,12640,5979
12,1,378.0,881.0,6.0,10510,9672
12,1,1110.0,768.0,5.0,10762,3643
12,1,900.0,858.0,6.0,7992,2250
12,1,1632.0,927.0,5.0,10789,26265
12,1,1128.0,319.0,11.0,10422,2527
12,1,1005.0,588.0,8.0,11320,2273
12,1,1281.0,890.0,7.0,12040,3453
12,1,487.0,1696.0,5.0,10586,8301
12,1,960.0,679.0,5.0,11353,3308
12,1,495.0,1651.0,6.0,11962,34362
12,1,1129.0,661.0,10.0,12758,2658
12,1,1395.0,636.0,6.0,10106,94765
12,1,466.0,862.0,6.0,11197,48795
12,1,1240.0,1039.0,5.0,11458,4462
12,1,523.0,856.0,5.0,10076,9990
12,1,773.0,1038.0,6.0,12034,5828
12,1,1668.0,1054.0,4.0,10009,6762
12,1,481.0,1233.0,5.0,10403,29202
12,1,1065.0,1097.0,6.0,12549,2795
12,1,742.0,1533.0,5.0,11189,4540
12,1,545.0,1450.0,6.0,11360,3238
12,1,1782.0,994.0,6.0,11699,36224
12,1,97.0,1637.0,6.0,11018,2323
12,1,888.0,1909.0,5.0,10827,4474
